content,pair_type,SoundA,SoundB,SoundX,delay,mora
ムッデラ,1-3 pair,stimuli/1-3 pair_muddera1.wav,stimuli/1-3 pair_muddera7.wav,stimuli/1-3 pair_muddera6.wav,1000,4
ムッデラ,1-3 pair,stimuli/1-3 pair_muddera7.wav,stimuli/1-3 pair_muddera1.wav,stimuli/1-3 pair_muddera7.wav,1000,4
ムテラ,1-2 pair,stimuli/1-2 pair_mutera7.wav,stimuli/1-2 pair_mutera1.wav,stimuli/1-2 pair_mutera1.wav,750,3
ムテラ,1-2 pair,stimuli/1-2 pair_mutera7.wav,stimuli/1-2 pair_mutera1.wav,stimuli/1-2 pair_mutera2.wav,750,3
ムテラ,1-2 pair,stimuli/1-2 pair_mutera1.wav,stimuli/1-2 pair_mutera7.wav,stimuli/1-2 pair_mutera3.wav,750,3
ムテラ,1-2 pair,stimuli/1-2 pair_mutera7.wav,stimuli/1-2 pair_mutera1.wav,stimuli/1-2 pair_mutera4.wav,750,3
ムテラ,1-2 pair,stimuli/1-2 pair_mutera1.wav,stimuli/1-2 pair_mutera7.wav,stimuli/1-2 pair_mutera5.wav,750,3
ムテラ,1-2 pair,stimuli/1-2 pair_mutera7.wav,stimuli/1-2 pair_mutera1.wav,stimuli/1-2 pair_mutera6.wav,750,3
ムテラ,1-2 pair,stimuli/1-2 pair_mutera7.wav,stimuli/1-2 pair_mutera1.wav,stimuli/1-2 pair_mutera7.wav,750,3
ムデラ,1-2 pair,stimuli/1-2 pair_mudera7.wav,stimuli/1-2 pair_mudera1.wav,stimuli/1-2 pair_mudera1.wav,750,3
ムデラ,1-2 pair,stimuli/1-2 pair_mudera1.wav,stimuli/1-2 pair_mudera7.wav,stimuli/1-2 pair_mudera2.wav,750,3
ムデラ,1-2 pair,stimuli/1-2 pair_mudera1.wav,stimuli/1-2 pair_mudera7.wav,stimuli/1-2 pair_mudera3.wav,750,3
ムデラ,1-2 pair,stimuli/1-2 pair_mudera1.wav,stimuli/1-2 pair_mudera7.wav,stimuli/1-2 pair_mudera4.wav,750,3
ムデラ,1-2 pair,stimuli/1-2 pair_mudera7.wav,stimuli/1-2 pair_mudera1.wav,stimuli/1-2 pair_mudera5.wav,750,3
ムデラ,1-2 pair,stimuli/1-2 pair_mudera7.wav,stimuli/1-2 pair_mudera1.wav,stimuli/1-2 pair_mudera6.wav,750,3
ムデラ,1-2 pair,stimuli/1-2 pair_mudera7.wav,stimuli/1-2 pair_mudera1.wav,stimuli/1-2 pair_mudera7.wav,750,3
ムレラ,1-2 pair,stimuli/1-2 pair_murera7.wav,stimuli/1-2 pair_murera1.wav,stimuli/1-2 pair_murera1.wav,750,3
ムレラ,1-2 pair,stimuli/1-2 pair_murera7.wav,stimuli/1-2 pair_murera1.wav,stimuli/1-2 pair_murera2.wav,750,3
ムレラ,1-2 pair,stimuli/1-2 pair_murera7.wav,stimuli/1-2 pair_murera1.wav,stimuli/1-2 pair_murera3.wav,750,3
ムレラ,1-2 pair,stimuli/1-2 pair_murera1.wav,stimuli/1-2 pair_murera7.wav,stimuli/1-2 pair_murera4.wav,750,3
ムレラ,1-2 pair,stimuli/1-2 pair_murera1.wav,stimuli/1-2 pair_murera7.wav,stimuli/1-2 pair_murera5.wav,750,3
ムレラ,1-2 pair,stimuli/1-2 pair_murera7.wav,stimuli/1-2 pair_murera1.wav,stimuli/1-2 pair_murera6.wav,750,3
ムレラ,1-2 pair,stimuli/1-2 pair_murera1.wav,stimuli/1-2 pair_murera7.wav,stimuli/1-2 pair_murera7.wav,750,3
ムロテラ,1-2 pair,stimuli/1-2 pair_murotera1.wav,stimuli/1-2 pair_murotera7.wav,stimuli/1-2 pair_murotera1.wav,1000,4
ムロテラ,1-2 pair,stimuli/1-2 pair_murotera1.wav,stimuli/1-2 pair_murotera7.wav,stimuli/1-2 pair_murotera2.wav,1000,4
ムロテラ,1-2 pair,stimuli/1-2 pair_murotera7.wav,stimuli/1-2 pair_murotera1.wav,stimuli/1-2 pair_murotera3.wav,1000,4
ムロテラ,1-2 pair,stimuli/1-2 pair_murotera7.wav,stimuli/1-2 pair_murotera1.wav,stimuli/1-2 pair_murotera4.wav,1000,4
ムロテラ,1-2 pair,stimuli/1-2 pair_murotera1.wav,stimuli/1-2 pair_murotera7.wav,stimuli/1-2 pair_murotera5.wav,1000,4
ムロテラ,1-2 pair,stimuli/1-2 pair_murotera7.wav,stimuli/1-2 pair_murotera1.wav,stimuli/1-2 pair_murotera6.wav,1000,4
ムロテラ,1-2 pair,stimuli/1-2 pair_murotera7.wav,stimuli/1-2 pair_murotera1.wav,stimuli/1-2 pair_murotera7.wav,1000,4
ムロテラ,2-3 pair,stimuli/2-3 pair_murotera1.wav,stimuli/2-3 pair_murotera7.wav,stimuli/2-3 pair_murotera1.wav,1000,4
ムロテラ,2-3 pair,stimuli/2-3 pair_murotera7.wav,stimuli/2-3 pair_murotera1.wav,stimuli/2-3 pair_murotera2.wav,1000,4
ムロテラ,2-3 pair,stimuli/2-3 pair_murotera1.wav,stimuli/2-3 pair_murotera7.wav,stimuli/2-3 pair_murotera3.wav,1000,4
ムロテラ,2-3 pair,stimuli/2-3 pair_murotera7.wav,stimuli/2-3 pair_murotera1.wav,stimuli/2-3 pair_murotera4.wav,1000,4
ムロテラ,2-3 pair,stimuli/2-3 pair_murotera1.wav,stimuli/2-3 pair_murotera7.wav,stimuli/2-3 pair_murotera5.wav,1000,4
ムロテラ,2-3 pair,stimuli/2-3 pair_murotera7.wav,stimuli/2-3 pair_murotera1.wav,stimuli/2-3 pair_murotera6.wav,1000,4
ムロテラ,2-3 pair,stimuli/2-3 pair_murotera7.wav,stimuli/2-3 pair_murotera1.wav,stimuli/2-3 pair_murotera7.wav,1000,4
ムロデラ,1-2 pair,stimuli/1-2 pair_murodera1.wav,stimuli/1-2 pair_murodera7.wav,stimuli/1-2 pair_murodera1.wav,1000,4
ムロデラ,1-2 pair,stimuli/1-2 pair_murodera7.wav,stimuli/1-2 pair_murodera1.wav,stimuli/1-2 pair_murodera2.wav,1000,4
ムロデラ,1-2 pair,stimuli/1-2 pair_murodera7.wav,stimuli/1-2 pair_murodera1.wav,stimuli/1-2 pair_murodera3.wav,1000,4
ムロデラ,1-2 pair,stimuli/1-2 pair_murodera7.wav,stimuli/1-2 pair_murodera1.wav,stimuli/1-2 pair_murodera4.wav,1000,4
ムロデラ,1-2 pair,stimuli/1-2 pair_murodera1.wav,stimuli/1-2 pair_murodera7.wav,stimuli/1-2 pair_murodera5.wav,1000,4
ムロデラ,1-2 pair,stimuli/1-2 pair_murodera7.wav,stimuli/1-2 pair_murodera1.wav,stimuli/1-2 pair_murodera6.wav,1000,4
ムロデラ,1-2 pair,stimuli/1-2 pair_murodera1.wav,stimuli/1-2 pair_murodera7.wav,stimuli/1-2 pair_murodera7.wav,1000,4
ムロデラ,2-3 pair,stimuli/2-3 pair_murodera1.wav,stimuli/2-3 pair_murodera7.wav,stimuli/2-3 pair_murodera1.wav,1000,4
ムロデラ,2-3 pair,stimuli/2-3 pair_murodera1.wav,stimuli/2-3 pair_murodera7.wav,stimuli/2-3 pair_murodera2.wav,1000,4
ムロデラ,2-3 pair,stimuli/2-3 pair_murodera7.wav,stimuli/2-3 pair_murodera1.wav,stimuli/2-3 pair_murodera3.wav,1000,4
